unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ROSA,AFG,Afghanistan,DTP3,66,70,72,72,66,66,64,62,64,67,68,66,63,64,63,58,58,50,41,36,33,24,27,27,28,31,20,12,18,21,23,25,33,35,25,11,15,16,5,5,3,4
ECAR,ALB,Albania,DTP3,98,98,99,99,99,98,99,98,99,99,99,99,98,99,98,97,98,97,97,98,97,97,97,96,99,98,97,99,96,94,78,94,94,96,96,96,96,95,95,95,94,94
MENA,DZA,Algeria,DTP3,91,91,91,91,91,91,95,95,95,95,95,95,95,93,95,95,88,86,87,86,89,86,83,85,89,88,88,87,88,88,89,89,87,85,79,73,69,,,,,
Non-programme,AND,Andorra,DTP3,99,99,99,99,99,98,97,97,96,99,99,99,99,99,96,93,98,99,99,97,96,98,90,89,90,,,,,,,,,,,,,,,,,
ESAR,AGO,Angola,DTP3,45,51,57,63,56,59,59,55,54,53,52,51,50,49,48,44,47,47,46,47,42,31,21,47,41,28,24,27,30,21,26,24,18,12,10,10,8,8,6,,,
LACR,ATG,Antigua and Barbuda,DTP3,92,96,95,95,95,92,99,99,99,98,99,98,99,99,99,99,99,97,99,98,97,95,99,99,99,99,99,99,99,99,94,99,99,98,97,96,99,94,99,79,79,54
LACR,ARG,Argentina,DTP3,76,74,83,86,86,92,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,84,88,83,85,82,81,81,80,87,80,80,75,67,66,62,61,58,49,44
ECAR,ARM,Armenia,DTP3,93,91,92,92,94,94,94,93,95,95,95,94,93,89,88,87,90,91,94,94,94,93,91,82,88,86,98,86,85,85,,,,,,,,,,,,
Non-programme,AUS,Australia,DTP3,95,95,95,95,95,94,93,92,91,92,92,92,92,92,92,92,92,92,93,92,92,90,88,82,77,86,86,88,90,91,93,95,93,88,81,75,68,62,55,48,40,33
Non-programme,AUT,Austria,DTP3,85,85,85,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,83,84,81,74,82,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
ECAR,AZE,Azerbaijan,DTP3,89,79,94,95,95,97,96,94,93,89,87,81,81,81,79,78,75,77,77,76,77,76,75,73,70,74,74,69,66,58,,,,,,,,,,,,
LACR,BHS,Bahamas,DTP3,75,83,89,90,94,94,95,96,97,98,98,99,96,93,95,95,93,93,92,94,99,99,82,89,86,85,87,91,91,92,92,86,86,85,85,85,86,69,65,69,55,36
MENA,BHR,Bahrain,DTP3,98,98,99,99,97,99,98,98,99,99,99,99,98,97,97,98,98,98,97,98,99,97,97,98,98,96,95,96,94,94,99,94,96,96,95,92,90,86,83,79,75,72
ROSA,BGD,Bangladesh,DTP3,98,98,98,98,98,98,98,97,96,94,96,94,97,96,94,94,93,99,87,83,85,82,80,77,78,77,69,84,74,66,74,69,49,16,9,4,2,1,1,1,1,
LACR,BRB,Barbados,DTP3,82,85,90,95,90,97,97,94,91,87,91,86,93,85,93,84,92,93,89,87,84,93,87,93,96,85,93,90,86,90,82,91,78,76,79,79,83,83,69,62,58,60
ECAR,BLR,Belarus,DTP3,98,97,98,97,97,98,99,97,98,98,98,98,96,97,95,99,99,99,50,99,99,99,99,99,98,98,96,92,91,90,,,,,,,,,,,,
Non-programme,BEL,Belgium,DTP3,98,97,97,98,98,98,99,99,99,99,98,98,98,99,98,98,97,95,95,95,95,95,87,79,87,95,94,96,97,95,92,93,94,80,95,95,95,95,95,95,95,95
LACR,BLZ,Belize,DTP3,83,79,98,96,88,95,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,91,87,87,86,85,83,88,85,74,82,91,79,61,85,82,58,53,59,61,44,47
WCAR,BEN,Benin,DTP3,76,72,76,76,76,76,74,74,77,80,75,76,79,75,82,74,70,72,73,75,76,78,74,70,66,66,67,81,75,73,69,74,48,30,25,17,17,,,,,
ROSA,BTN,Bhutan,DTP3,98,95,97,97,98,98,99,99,97,97,95,91,93,96,95,95,95,89,95,86,88,92,90,86,87,87,87,86,79,86,91,96,76,70,63,53,41,28,16,15,13,6
LACR,BOL,Bolivia (Plurinational State of),DTP3,70,68,75,83,84,87,89,85,87,93,95,91,93,88,84,83,85,84,88,77,71,75,77,61,58,61,64,58,52,45,43,41,52,28,35,42,33,6,10,12,13,11
ECAR,BIH,Bosnia and Herzegovina,DTP3,73,73,73,73,75,78,82,86,89,92,88,89,90,91,95,87,93,84,87,80,91,85,90,89,79,67,55,82,38,58,,,,,,,,,,,,
ESAR,BWA,Botswana,DTP3,95,95,95,95,95,95,95,95,95,95,95,95,96,96,96,96,96,96,96,97,97,97,97,98,96,96,95,94,94,94,93,92,92,88,88,86,84,83,82,82,75,71
LACR,BRA,Brazil,DTP3,68,77,70,87,89,89,96,93,97,95,99,99,99,99,99,99,99,99,99,99,98,98,94,93,79,77,81,74,75,71,78,66,56,58,58,58,66,68,60,56,47,37
EAPR,BRN,Brunei Darussalam,DTP3,99,99,99,99,99,99,99,99,99,95,97,95,99,98,99,97,94,92,92,94,97,99,92,97,99,99,99,99,99,96,95,93,91,89,85,86,88,96,85,99,94,89
